Event,Race,Description,Participants,Registration Opens,Registration Closes,Entry Fee,Sign Up,Date,Starting Time,Starting Point,Country,SumDistance,SumElevation Gain,SumDescent,SumRefreshment Points,SumTimeLimit,Website,CourseUrl,LogoPicURL,ProfilePicURL,SourceUrl
Trencacims Paüls  2019,Marxa Trencacims,,200,2 November 2018,24 March 2019,"02/11/2018 al 03/03/2019: 15€
04/03/2019 al 24/03/2019: 20€",,7 April 2019,09:00,Paüls,Espagne,10.3km,590m,590m,3,05:00,https://www.trencacims.com,https://tracedetrail.fr/en/trace/itra/73352,/orga_pic/logo_med2304.jpg,https://itra.run/orga_pic/p_12023_1.png,https://itra.run/calend.php?ide=2304&mode=getEvt&id=2304&annee=2019&idc=12023
Trencacims Paüls  2019,Km Vertical Trencacims,"Primer kilómetro vertical de la historia de Trencacims Paüls, que sale del mismo pueblo directo a la Punta de l'Aigua, 4,5km y 750+.
Description in English
First vertical kilometer of the history of Trencacims Paüls, that leaves the same town direct to Punta de l'Aigua, 4,5km and 750+.",50,2 November 2018,24 March 2019,"02/11/2018 al 03/03/2019: 12€
04/03/2019 al 24/03/2019: 15€",,5 April 2019,17:30,Paüls,Espagne,4.6km,780m,50m,1,,https://www.trencacims.com,https://tracedetrail.fr/en/trace/itra/73365,/orga_pic/logo_med2304.jpg,https://itra.run/orga_pic/p_16543_1.png,https://itra.run/calend.php?ide=2304&mode=getEvt&id=2304&annee=2019&idc=16543
Ultra Fiord 2019,100Miles,,40,26 April 2018,28 February 2019,US$702,https://www.ultrafiord.com/registration/,4 April 2019,22:00,La,Chili,168km,7370m,7400m,14,,https://www.ultrafiord.com,https://tracedetrail.fr/en/trace/itra/76863,/orga_pic/logo_med1666.jpg,,https://itra.run/calend.php?ide=1666&mode=getEvt&id=1666&annee=2019&idc=11893
Ultra Fiord 2019,100K,,45,26 April 2018,28 February 2019,US$642,https://www.ultrafiord.com/registration/,5 April 2019,08:30,Hostería,Chili,104.8km,5090m,5110m,9,,https://www.ultrafiord.com,https://tracedetrail.fr/en/trace/itra/76864,/orga_pic/logo_med1666.jpg,,https://itra.run/calend.php?ide=1666&mode=getEvt&id=1666&annee=2019&idc=11895
Ultra Fiord 2019,70K,,45,26 April 2018,28 February 2019,US$585,https://www.ultrafiord.com/registration/,5 April 2019,09:00,Hostería,Chili,74.1km,4720m,4580m,6,,https://www.ultrafiord.com,https://tracedetrail.fr/en/trace/itra/76865,/orga_pic/logo_med1666.jpg,,https://itra.run/calend.php?ide=1666&mode=getEvt&id=1666&annee=2019&idc=11897
Ultra Fiord 2019,50K,,50,10 May 2018,27 February 2019,US$358,https://www.ultrafiord.com/registration/,3 April 2019,08:30,Hotel,Chili,46.8km,1970m,1990m,3,,https://www.ultrafiord.com,https://tracedetrail.fr/en/trace/itra/76866,/orga_pic/logo_med1666.jpg,,https://itra.run/calend.php?ide=1666&mode=getEvt&id=1666&annee=2019&idc=5107
Ultra Fiord 2019,42K,,40,26 April 2018,28 February 2019,US$453,https://www.ultrafiord.com/registration/,3 April 2019,08:30,HosterĂ­a,Chili,42.8km,2240m,2260m,2,,https://www.ultrafiord.com,https://tracedetrail.fr/en/trace/itra/76867,/orga_pic/logo_med1666.jpg,,https://itra.run/calend.php?ide=1666&mode=getEvt&id=1666&annee=2019&idc=11901
Ultra Fiord 2019,30K,,30,26 April 2018,28 February 2019,US$258,https://www.ultrafiord.com/registration/,3 April 2019,09:00,Hostería,Chili,28.9km,920m,930m,1,,https://www.ultrafiord.com,https://tracedetrail.fr/en/trace/itra/76868,/orga_pic/logo_med1666.jpg,,https://itra.run/calend.php?ide=1666&mode=getEvt&id=1666&annee=2019&idc=11905
Brazos Bend 50 2019,100K,,,,,,https://ultrasignup.com/register.aspx?did=58364,6 April 2019,05:30,(Etats-Unis),Etats-Unis,162.3km,1180m,1180m,5,,http://www.trailracingovertexas.com/brazos-bend-50/,https://tracedetrail.fr/en/trace/itra/77009,,,https://itra.run/calend.php?ide=1917&mode=getEvt&id=1917&annee=2019&idc=17693
Brazos Bend 50 2019,50M,,,,,,https://ultrasignup.com/register.aspx?did=58364,6 April 2019,06:00,(Etats-Unis),Etats-Unis,81.3km,600m,600m,5,,http://www.trailracingovertexas.com/brazos-bend-50/,https://tracedetrail.fr/en/trace/itra/77008,,,https://itra.run/calend.php?ide=1917&mode=getEvt&id=1917&annee=2019&idc=3755
Brazos Bend 50 2019,50K,,,,,,https://ultrasignup.com/register.aspx?did=58364,6 April 2019,07:00,(Etats-Unis),Etats-Unis,47.7km,240m,240m,5,,http://www.trailracingovertexas.com/brazos-bend-50/,https://tracedetrail.fr/en/trace/itra/77007,,,https://itra.run/calend.php?ide=1917&mode=getEvt&id=1917&annee=2019&idc=3754
Brazos Bend 50 2019,25K,,,,,,https://ultrasignup.com/register.aspx?did=58364,6 April 2019,07:30,(Etats-Unis),Etats-Unis,23.8km,120m,120m,5,,http://www.trailracingovertexas.com/brazos-bend-50/,https://tracedetrail.fr/en/trace/itra/77006,,,https://itra.run/calend.php?ide=1917&mode=getEvt&id=1917&annee=2019&idc=5301
Centurion South Downs Way 50 2019,50M,"THE SDW50 IS A 50 MILE FOOT RACE ALONG THE SOUTH DOWNS WAY NATIONAL TRAIL, BEGINNING IN WORTHING AND FINISHING IN EASTBOURNE. RUNNERS START BY NEGOTIATING SIX MILES OF CHALK FOOTPATHS AND BRIDLEWAYS, CLIMBING UP TO JOIN THE SOUTH DOWNS WAY AT CHANCTONBURY RING. THE REMAINDER OF THE COURSE IS IDENTICAL TO THE FINAL 44 MILES OF THE SDW100 AND REMAINS ON THE SDW UNTIL THE FINAL TURN OFF - BRINGING RUNNERS OUT TO FINISH WITH A LAP OF THE TRACK AT EASTBOURNE. 7TH ANNUAL. FIRST RACE IN THE 2019 50 MILE GRAND SLAM OF FOUR, 50 MILE EVENTS.",400,23 June 2018,9 March 2019,ÂŁ85,http://www.centurionrunning.com,6 April 2019,08:30,Worthing,Royaume-Uni,78.6km,1760m,1770m,6,13:00,http://www.centurionrunning.com/races/south-downs-way-50-2018,https://tracedetrail.fr/en/trace/itra/63817,/orga_pic/logo_med213.png,https://itra.run/orga_pic/p_1617_1.jpg,https://itra.run/calend.php?ide=213&mode=getEvt&id=213&annee=2019&idc=1617
Desafío Caseríos De Anaga 2019,Desafío Caseríos De Anaga,"Prueba de montaña que transcurre íntegramente por el macizo de Anaga, parte desde el niveldel mar y la cota máxima alcanzada en de 900 mts en la Cruz del Carmen. Desde el inicio enpunta del hidalgo, esta distancia pasa por Chinamada, Carboneras, Taborno, Taganana, Almaciga, Benijos, Chamorga, Lomo las bodegas, Lomo las Casillas, Igueste de San Andres, Bailadero, Afur, Cruz del Carmen, Bejias , Punta Hidalgo.La mayoría del recorrido va por la vertiente norte del macizo donde predominan los fuertes desniveles con bajadas técnicas, barrancos llenos de vegetación costera y muchísima laurisilva.",100,17 December 2018,3 April 2019,75 €,http://chronorace.es/inscribirme/,6 April 2019,06:00,Punta,Espagne,74.8km,5570m,5570m,11,,https://www.desafiocaseriosdeanaga.com/,https://tracedetrail.fr/en/trace/itra/78441,,,https://itra.run/calend.php?ide=7153&mode=getEvt&id=7153&annee=2019&idc=17925
Desafío Caseríos De Anaga 2019,La Laurisilva Profunda,"Prueba que comparte los primeros17km con su hermana mayor (ULTRA), una vez en taborno tomamos elsendero dirección casa Carlos, para entrar a la Dcha por Llano Frio en una zona de extensa laurisilva (3km) que teharán volar los sentidos, uniéndose a partir de aquí con el recorrido de la ULTRA.",100,17 December 2018,3 April 2019,45 €,http://chronorace.es/inscribirme/,6 April 2019,16:00,(Espagne),Espagne,36.9km,2640m,2640m,5,,https://www.desafiocaseriosdeanaga.com/,https://tracedetrail.fr/en/trace/itra/78442,,,https://itra.run/calend.php?ide=7153&mode=getEvt&id=7153&annee=2019&idc=17927
Desafío Caseríos De Anaga 2019,Las Casas Cuevas,"Una media maratón de montaña muy exigente, con un continua sube y baja que nos llevaran hasta los caseríos que aún conserva las antiguas casas-cueva del Batan y Bejias.",100,17 December 2018,3 April 2019,25 €,http://chronorace.es/inscribirme/,6 April 2019,08:00,(Espagne),Espagne,20.6km,1360m,1360m,2,,https://www.desafiocaseriosdeanaga.com/,https://tracedetrail.fr/en/trace/itra/78443,,,https://itra.run/calend.php?ide=7153&mode=getEvt&id=7153&annee=2019&idc=17929
Desafío Caseríos De Anaga 2019,Camino De Las Gangocheras,"Un Trail que nos llevará por el sendero que usaban las antiguas gangocheras desde la montaña a la costa, partiendo desde El Batán, hasta Punta del Hidalgo bajando por el Homician.",100,17 December 2018,3 April 2019,15 €,http://chronorace.es/inscribirme/,6 April 2019,08:00,(Espagne),Espagne,11.4km,510m,980m,N/A,,https://www.desafiocaseriosdeanaga.com/,https://tracedetrail.fr/en/trace/itra/78440,,,https://itra.run/calend.php?ide=7153&mode=getEvt&id=7153&annee=2019&idc=17923
Endurancelife | Exmoor 2019,Ultra,,,26 July 2018,23 March 2019,,,6 April 2019,08:30,Martinhoe,Royaume-Uni,52.5km,2120m,2170m,6,,http://www.endurancelife.com/,https://tracedetrail.fr/en/trace/itra/63832,/orga_pic/logo_med250.png,,https://itra.run/calend.php?ide=250&mode=getEvt&id=250&annee=2019&idc=1205
Enkarterri Extrem Trails 2019,Ultra,,200,13 October 2018,1 April 2019,50 âŹ,https://sportmaniacs.com/services/inscription/enkarterri-extrem-trails,6 April 2019,08:00,Zaramillo,Espagne,57.7km,3720m,3720m,6,16:00,http://www.enkarterriextremtrails.com,https://tracedetrail.fr/en/trace/itra/80977,,https://itra.run/orga_pic/p_2413_1.png,https://itra.run/calend.php?ide=75&mode=getEvt&id=75&annee=2019&idc=2413
Enkarterri Extrem Trails 2019,Maraton,,200,13 October 2018,1 April 2019,35 âŹ,https://sportmaniacs.com/services/inscription/enkarterri-extrem-trails,6 April 2019,10:00,Zaramillo,Espagne,42.1km,2900m,2900m,4,12:00,http://www.enkarterriextremtrails.com,https://tracedetrail.fr/en/trace/itra/80978,,https://itra.run/orga_pic/p_2414_1.png,https://itra.run/calend.php?ide=75&mode=getEvt&id=75&annee=2019&idc=2414
Gede Pangrango Ultra Marathon 2019,Gpu,GPU,50,1 October 2018,31 March 2019,120 USD,http://www.gedepangrangoultra.com,27 April 2019,00:00,CIBODAS,Indonésie,60.6km,5480m,5480m,6,26:00,http://gedepangrangoultra.com,https://tracedetrail.fr/en/trace/itra/68341,/orga_pic/logo_med4447.jpg,https://itra.run/orga_pic/p_15569_1.png,https://itra.run/calend.php?ide=4447&mode=getEvt&id=4447&annee=2019&idc=15569
Gede Pangrango Ultra Marathon 2019,Gpt,GPT,100,1 October 2018,31 March 2019,80 USD,http://www.gedepangrangoultra.com,27 April 2019,00:00,CIBODAS,Indonésie,40.6km,3600m,3600m,4,18:00,http://gedepangrangoultra.com,https://tracedetrail.fr/en/trace/itra/68342,/orga_pic/logo_med4447.jpg,https://itra.run/orga_pic/p_15571_1.png,https://itra.run/calend.php?ide=4447&mode=getEvt&id=4447&annee=2019&idc=15571
Gede Pangrango Ultra Marathon 2019,Gpf,GPF,200,1 October 2018,31 March 2019,64 USD,http://www.gedepangrangoultra.com,27 April 2019,05:00,PONDOK,Indonésie,23.3km,2380m,2190m,2,13:00,http://gedepangrangoultra.com,https://tracedetrail.fr/en/trace/itra/68343,/orga_pic/logo_med4447.jpg,https://itra.run/orga_pic/p_15567_1.png,https://itra.run/calend.php?ide=4447&mode=getEvt&id=4447&annee=2019&idc=15567
Gede Pangrango Ultra Marathon 2019,Gpq,Gede Pangrango Qualification,50,6 March 2019,18 March 2019,,http://www.gedepangrangoultra.com,6 April 2019,06:00,CIBODAS,Indonésie,20.5km,1560m,1560m,N/A,09:00,http://gedepangrangoultra.com,https://tracedetrail.fr/en/trace/itra/82110,/orga_pic/logo_med4447.jpg,https://itra.run/orga_pic/p_18815_1.png,https://itra.run/calend.php?ide=4447&mode=getEvt&id=4447&annee=2019&idc=18815
Hutsul Trail 2019,Sokolyne Oko,,200,15 November 2018,2 April 2019,750 UAH,https://athletic-events.com/events/517,6 April 2019,12:00,Vyzhnytsia,Ukraine,52.4km,2890m,2890m,3,15:00,http://gutsul.carpathiatrail.com/,https://tracedetrail.fr/en/trace/itra/80547,/orga_pic/logo_med3603.jpg,https://itra.run/orga_pic/p_7839_1.jpg,https://itra.run/calend.php?ide=3603&mode=getEvt&id=3603&annee=2019&idc=7839
Hutsul Trail 2019,Vyzhenka,,199,15 November 2018,2 April 2019,500 UAH,https://athletic-events.com/events/517,6 April 2019,13:00,Vyzhnytsia,Ukraine,23.4km,1040m,1160m,1,07:00,http://gutsul.carpathiatrail.com/,https://tracedetrail.fr/en/trace/itra/80548,/orga_pic/logo_med3603.jpg,https://itra.run/orga_pic/p_7837_1.jpg,https://itra.run/calend.php?ide=3603&mode=getEvt&id=3603&annee=2019&idc=7837
Jabulani Challenge 2019,45Km,,200,29 October 2018,3 April 2019,$130-$150,https://endurancecui.active.com/event-reg/select-race?e=48445253,6 April 2019,07:00,Bobbin,Australie,45.1km,1310m,1300m,4,08:21,https://jabulanichallenge.com.au/,https://tracedetrail.fr/en/trace/itra/67796,/orga_pic/logo_med4941.jpg,https://itra.run/orga_pic/p_11417_1.jpg,https://itra.run/calend.php?ide=4941&mode=getEvt&id=4941&annee=2019&idc=11417
Jabulani Challenge 2019,22Km,,450,29 October 2018,3 April 2019,$85-$105,https://endurancecui.active.com/event-reg/select-race?e=48445253,6 April 2019,08:00,Bobbin,Australie,22.7km,480m,460m,2,05:50,https://jabulanichallenge.com.au/,https://tracedetrail.fr/en/trace/itra/67795,/orga_pic/logo_med4941.jpg,https://itra.run/orga_pic/p_11419_1.jpg,https://itra.run/calend.php?ide=4941&mode=getEvt&id=4941&annee=2019&idc=11419
Jinan International Trail Race 2019,50Km,济南首个50公里越野跑赛事，比赛由第十一届全运会主会场济南市奥体中心出发，线路涵盖高新区、历下区、市中区、历城区、南山区五个行政区域，线路中“山、泉、佛、寺”点缀其中，沿途经过山（青桐山—济南海拔第二高峰、桃花山、黑龙寨、朱凤山、白云山、禹登山、藏龙涧）、泉（斗母泉—济南海拔最高的72名泉、东流泉、白云泉、林汲泉、露华泉）、佛（齐鲁第一大佛—唐代开凿、高9.05米，冠绝齐鲁）、寺（大佛寺、泰山行宫、云台寺、观音寺、乡义寺、般若寺），大小景点10余处。,200,28 February 2019,15 March 2019,,,6 April 2019,07:30,jinan,Chine,51.5km,2380m,2380m,4,15:00,https://mp.weixin.qq.com/s/4d8BanMiGg5Mzj3cztDT8A,https://tracedetrail.fr/en/trace/itra/82191,,https://itra.run/orga_pic/p_18953_1.jpg,https://itra.run/calend.php?ide=7489&mode=getEvt&id=7489&annee=2019&idc=18953
Jinan International Trail Race 2019,25Km,比赛由济南市奥体中心—第十一届全运会主会场出发，线路贯穿高新区、历下区、市中区、历城区、南山区五个行政区域，线路特点贯穿“山泉佛寺”,200,6 April 2019,6 April 2019,,,6 April 2019,07:30,Jinan,Chine,22.6km,950m,950m,1,09:00,https://mp.weixin.qq.com/s/4d8BanMiGg5Mzj3cztDT8A,https://tracedetrail.fr/en/trace/itra/82287,,https://itra.run/orga_pic/p_18983_1.jpg,https://itra.run/calend.php?ide=7489&mode=getEvt&id=7489&annee=2019&idc=18983
Kielder Ultra 2019,100K,,250,3 October 2018,2 April 2019,ÂŁ50,https://www.highterrainevents.co.uk/kielder-ultra,6 April 2019,06:30,Kielder,Royaume-Uni,100.4km,1920m,1920m,6,18:00,https://www.highterrainevents.co.uk/kielder-ultra,https://tracedetrail.fr/en/trace/itra/77767,/orga_pic/logo_med613.jpg,https://itra.run/orga_pic/p_3003_2.jpg,https://itra.run/calend.php?ide=613&mode=getEvt&id=613&annee=2019&idc=3003
Kielder Ultra 2019,Kielder Ultra 50K,,250,3 October 2018,2 April 2019,ÂŁ50,https://www.highterrainevents.co.uk/kielder-ultra,6 April 2019,09:30,Kielder,Royaume-Uni,50.4km,1030m,1040m,3,11:00,https://www.highterrainevents.co.uk/kielder-ultra,https://tracedetrail.fr/en/trace/itra/77768,/orga_pic/logo_med613.jpg,https://itra.run/orga_pic/p_3148_1.jpg,https://itra.run/calend.php?ide=613&mode=getEvt&id=613&annee=2019&idc=3148
Lake Sonoma 50 2019,Lake Sonoma 50,,,,,,,6 April 2019,06:30,Healdsburg,Etats-Unis,77km,3080m,3090m,9,14:00,http://lakesonoma50.com,https://tracedetrail.fr/en/trace/itra/80753,/orga_pic/logo_med685.jpg,https://itra.run/orga_pic/p_1341_1.jpg,https://itra.run/calend.php?ide=685&mode=getEvt&id=685&annee=2019&idc=1341
Latmos Ultra Marathon 2019,Latmos Ultra Marathon,,,1 October 2018,4 April 2019,200,,6 April 2019,09:00,AydÄąn,Turquie,43.2km,1950m,1950m,3,18:00,http://kosarakkesfet.com/,https://tracedetrail.fr/en/trace/itra/81694,,,https://itra.run/calend.php?ide=7481&mode=getEvt&id=7481&annee=2019&idc=18941
Les Vosgirunners Trails Nature 2019,L'intégrale Des Fous,,200,5 November 2018,30 March 2019,,https://www.lesvosgirunners.com/,6 April 2019,06:00,Niederbronn,France,150.5,5310.0,5320.0,9.0,24:00,http://www.lesvosgirunners.com,https://tracedetrail.fr/en/trace/itra/70560,,,https://itra.run/calend.php?ide=278&mode=getEvt&id=278&annee=2019&idc=16143
Les Vosgirunners Trails Nature 2019,L'intégrale Des Seigneurs,,64,5 November 2018,30 March 2019,,http://www.lesvosgirunners.com/courses/l-integrale#,6 April 2019,06:30,Niederbronn,France,116.5,4190.0,4200.0,6.0,40:28,http://www.lesvosgirunners.com,https://tracedetrail.fr/en/trace/itra/70109,,,https://itra.run/calend.php?ide=278&mode=getEvt&id=278&annee=2019&idc=2395
Les Vosgirunners Trails Nature 2019,Utra Trail Des Seigneurs,,100,4 November 2019,30 March 2019,,https://www.lesvosgirunners.com/,6 April 2019,06:30,Niederbronn,France,107.1km,3770m,3780m,6,15:40,http://www.lesvosgirunners.com,https://tracedetrail.fr/en/trace/itra/70108,,,https://itra.run/calend.php?ide=278&mode=getEvt&id=278&annee=2019&idc=15959
Les Vosgirunners Trails Nature 2019,Challenge Des Seigneurs,,159,5 November 2018,30 March 2019,,http://www.lesvosgirunners.com/courses/challenge-des-seigneurs#,6 April 2019,06:30,Niederbronn,France,98.5,3620.0,3620.0,10.0,35:54,http://www.lesvosgirunners.com,https://tracedetrail.fr/en/trace/itra/70111,,,https://itra.run/calend.php?ide=278&mode=getEvt&id=278&annee=2019&idc=1215
Les Vosgirunners Trails Nature 2019,Défi Des Seigneurs,,420,5 November 2018,30 March 2019,,http://www.lesvosgirunners.com/courses/le-defi-des-seigneurs#,6 April 2019,07:00,Niederbronn,France,73.1km,2650m,2650m,3,13:24,http://www.lesvosgirunners.com,https://tracedetrail.fr/en/trace/itra/70113,,,https://itra.run/calend.php?ide=278&mode=getEvt&id=278&annee=2019&idc=1255
Les Vosgirunners Trails Nature 2019,Grand Défi Des Vosges,,298,5 November 2018,30 March 2019,,http://www.lesvosgirunners.com/courses/grand-defi-des-vosges#,7 April 2019,08:00,Niederbronn,France,43.4km,1540m,1550m,3,07:30,http://www.lesvosgirunners.com,https://tracedetrail.fr/en/trace/itra/70114,,,https://itra.run/calend.php?ide=278&mode=getEvt&id=278&annee=2019&idc=404
Les Vosgirunners Trails Nature 2019,La Mac Vi,,700,4 November 2019,30 March 2019,,http://www.lesvosgirunners.com/courses/la-mac-vi#,7 April 2019,10:00,Niederbronn,France,25.4km,970m,970m,2,05:03,http://www.lesvosgirunners.com,https://tracedetrail.fr/en/trace/itra/70115,,,https://itra.run/calend.php?ide=278&mode=getEvt&id=278&annee=2019&idc=3221
Lurbel Mountain Festival  2019,48K,"Carrera por montaĂąa que transcurre en pleno parque natural de Los Calares del mundo y de la Sima, en Albacete. ",400,12 November 2018,3 April 2019,,https://www.mychip.es/evento/lurbel-mountain-festival-2019-3,6 April 2019,08:30,Yeste,Espagne,48.2km,3140m,3140m,5,10:00,http://www.lurbelmountainfestival.com,https://tracedetrail.fr/en/trace/itra/77194,,https://itra.run/orga_pic/p_17459_1.jpg,https://itra.run/calend.php?ide=1888&mode=getEvt&id=1888&annee=2019&idc=17459
