Event,Race,Country,Region,Tag,Date,Starting Time,Type,Distance,Starting Point,Description,Sign Up,Reference URL
Badger Mountain Challenge,['15K'],Washington,North America,Trail Solo,"March 30, 2019 (Saturday)",08:00,Running,15 kilometers,Richland,,https://ultrasignup.com/register.aspx?eid=2609,https://marathons.ahotu.com//event/badger-mountain-challenge
Badger Mountain Challenge,['15K'],Washington,North America,Trail Solo,"March 30, 2019 (Saturday)",08:00,Running,15 kilometers,Richland,,https://ultrasignup.com/register.aspx?eid=2609,https://marathons.ahotu.com//event/badger-mountain-challenge
Badger Mountain Challenge,['15K'],Washington,North America,Trail Solo,"March 30, 2019 (Saturday)",08:00,Running,15 kilometers,Richland,,https://ultrasignup.com/register.aspx?eid=2609,https://marathons.ahotu.com//event/badger-mountain-challenge
Coastal Georgia Greenway 155 Challenge,['155 Mile - 7 Person Relay'],Georgia,North America,Road Relay,"March 29, 2019 (Friday)",,Running,155 miles,Savannah,,https://ultrasignup.com/register.aspx?eid=6600,https://marathons.ahotu.com//event/coastal-georgia-greenway-155-challenge
Coastal Georgia Greenway 155 Challenge,['155 Mile - 7 Person Relay'],Georgia,North America,Road Relay,"March 29, 2019 (Friday)",,Running,155 miles,Savannah,,https://ultrasignup.com/register.aspx?eid=6600,https://marathons.ahotu.com//event/coastal-georgia-greenway-155-challenge
Coastal Georgia Greenway 155 Challenge,['155 Mile - 7 Person Relay'],Georgia,North America,Road Relay,"March 29, 2019 (Friday)",,Running,155 miles,Savannah,,https://ultrasignup.com/register.aspx?eid=6600,https://marathons.ahotu.com//event/coastal-georgia-greenway-155-challenge
Coastal Georgia Greenway 155 Challenge,['155 Mile - 7 Person Relay'],Georgia,North America,Road Relay,"March 29, 2019 (Friday)",,Running,155 miles,Savannah,,https://ultrasignup.com/register.aspx?eid=6600,https://marathons.ahotu.com//event/coastal-georgia-greenway-155-challenge
Course Solidaire Interentreprises Sophia,['Relais'],Alpes-Maritimes,Europe,Multi terrain Relay,"March 29, 2019 (Friday)",12:00,Running,10 kilometers,Technopole de Sophia Antipolis,,,https://marathons.ahotu.com//event/course-solidaire-interentreprises-sophia
Greenbrier Ultra's,['100 Mile Endurance Run'],Maryland,North America,Trail Multiple loops Solo,"March 29, 2019 (Friday)",,Running,100 miles,Boonsboro,,https://ultrasignup.com/register.aspx?eid=8342,https://marathons.ahotu.com//event/greenbrier-ultra-s
Greenbrier Ultra's,['100 Mile Endurance Run'],Maryland,North America,Trail Multiple loops Solo,"March 29, 2019 (Friday)",,Running,100 miles,Boonsboro,,https://ultrasignup.com/register.aspx?eid=8342,https://marathons.ahotu.com//event/greenbrier-ultra-s
Greenbrier Ultra's,['100 Mile Endurance Run'],Maryland,North America,Trail Multiple loops Solo,"March 29, 2019 (Friday)",,Running,100 miles,Boonsboro,,https://ultrasignup.com/register.aspx?eid=8342,https://marathons.ahotu.com//event/greenbrier-ultra-s
Greenbrier Ultra's,['100 Mile Endurance Run'],Maryland,North America,Trail Multiple loops Solo,"March 29, 2019 (Friday)",,Running,100 miles,Boonsboro,,https://ultrasignup.com/register.aspx?eid=8342,https://marathons.ahotu.com//event/greenbrier-ultra-s
Hilton Head Island BEER Mile,['Individual'],South Carolina,North America,Road Solo,"March 29, 2019 (Friday)",17:30,Running,1 miles,Hilton Head Island,"WHAT: The BEER MILE  (Format – drink one 12oz beer then run 1/4 mile – repeat 4 times) WHERE: Tiki Hut (@ the Beach House Inn) – Coligny Beach, HHI WHY: Running without drinking is just too easy (not)! HOW: Entry Fee $30 Indiv. / $45 Team (2ppl) – Include 4 beers and t-shirt WHO: Individuals or Teams (2 ppl) – Anyone 21yrs or older – STRICTLY ENFORCED
This event benefits the MICHAEL J. FOX FOUNDATION (501c non-profit for Parkinson’s Research).
 
Run Responsibly …
Hilton Head Island’s ONLY beer running event – for those runners that want a slightly different challenge to their normal run – or, for those beer lovers that may have a running problem. Whatever motivates you – come out and see how fast you can run 1 MILE and drink 4 BEERS (or, come out and see what someone looks like when running after 4 beers).
RULES to get in the game
1. You MUST be 21 years or older to participate.
2. You MUST provide for and name a designated driver that is responsible for transporting you after the event.
RULES of the competition (*Note: Race Officials may take liberty to modify below rules based on our unique location).
1. Individual: Each competitor drinks four cans (or bottles) of beer and runs four laps on a 1/4mi course.  Start – beer/lap, beer/lap, beer/lap, beer/lap – Finish   Team: (2 ppl): Each competitor drinks 2 beers and runs two laps
2. Beer must be consumed before the lap has begun, within the transition area.  (The 10 meter zone before the start/finish line.)
3. The race begins with the drinking of the first beer in the last meter of the transition zone.  This ensures the competitors run a complete mile.
4. Competitors must drink cans or bottles of beer and the contents will be no less than 12oz.  Bottles may be substituted for cans as long as they are at least 12 oz (355 ml) in volume.
5. No specialized cans or bottles may be used that give an advantage by allowing the beer to pour at a faster rate.  “Super mega mouth cans” or “vortex bottles” and other such containers are prohibited.
6. Beer cans must not be tampered with in any manner.  No shotgunning or puncturing of the can except for opening the can by the tab at the top.
7. Beer must be a minimum of 5% alcohol by volume.  The beer must be a fermented alcoholic beverage brewed from malt and flavored with hops.
8. Each beer can must not be opened until the competitor enters the transition zone on each lap.
9. Competitors who vomit before they finish the race must complete one penalty lap at the end of the race.  Immediately after the completion of their 4th lap.",https://runsignup.com/Race/SC/HiltonHeadIsland/HiltonHeadIslandBEERMile,https://marathons.ahotu.com//event/hilton-head-island-beer-mile
Hilton Head Island BEER Mile,['Individual'],South Carolina,North America,Road Solo,"March 29, 2019 (Friday)",17:30,Running,1 miles,Hilton Head Island,"WHAT: The BEER MILE  (Format – drink one 12oz beer then run 1/4 mile – repeat 4 times) WHERE: Tiki Hut (@ the Beach House Inn) – Coligny Beach, HHI WHY: Running without drinking is just too easy (not)! HOW: Entry Fee $30 Indiv. / $45 Team (2ppl) – Include 4 beers and t-shirt WHO: Individuals or Teams (2 ppl) – Anyone 21yrs or older – STRICTLY ENFORCED
This event benefits the MICHAEL J. FOX FOUNDATION (501c non-profit for Parkinson’s Research).
 
Run Responsibly …
Hilton Head Island’s ONLY beer running event – for those runners that want a slightly different challenge to their normal run – or, for those beer lovers that may have a running problem. Whatever motivates you – come out and see how fast you can run 1 MILE and drink 4 BEERS (or, come out and see what someone looks like when running after 4 beers).
RULES to get in the game
1. You MUST be 21 years or older to participate.
2. You MUST provide for and name a designated driver that is responsible for transporting you after the event.
RULES of the competition (*Note: Race Officials may take liberty to modify below rules based on our unique location).
1. Individual: Each competitor drinks four cans (or bottles) of beer and runs four laps on a 1/4mi course.  Start – beer/lap, beer/lap, beer/lap, beer/lap – Finish   Team: (2 ppl): Each competitor drinks 2 beers and runs two laps
2. Beer must be consumed before the lap has begun, within the transition area.  (The 10 meter zone before the start/finish line.)
3. The race begins with the drinking of the first beer in the last meter of the transition zone.  This ensures the competitors run a complete mile.
4. Competitors must drink cans or bottles of beer and the contents will be no less than 12oz.  Bottles may be substituted for cans as long as they are at least 12 oz (355 ml) in volume.
5. No specialized cans or bottles may be used that give an advantage by allowing the beer to pour at a faster rate.  “Super mega mouth cans” or “vortex bottles” and other such containers are prohibited.
6. Beer cans must not be tampered with in any manner.  No shotgunning or puncturing of the can except for opening the can by the tab at the top.
7. Beer must be a minimum of 5% alcohol by volume.  The beer must be a fermented alcoholic beverage brewed from malt and flavored with hops.
8. Each beer can must not be opened until the competitor enters the transition zone on each lap.
9. Competitors who vomit before they finish the race must complete one penalty lap at the end of the race.  Immediately after the completion of their 4th lap.",https://runsignup.com/Race/SC/HiltonHeadIsland/HiltonHeadIslandBEERMile,https://marathons.ahotu.com//event/hilton-head-island-beer-mile
Hilton Head Island BEER Mile,['Individual'],South Carolina,North America,Road Solo,"March 29, 2019 (Friday)",17:30,Running,1 miles,Hilton Head Island,"WHAT: The BEER MILE  (Format – drink one 12oz beer then run 1/4 mile – repeat 4 times) WHERE: Tiki Hut (@ the Beach House Inn) – Coligny Beach, HHI WHY: Running without drinking is just too easy (not)! HOW: Entry Fee $30 Indiv. / $45 Team (2ppl) – Include 4 beers and t-shirt WHO: Individuals or Teams (2 ppl) – Anyone 21yrs or older – STRICTLY ENFORCED
This event benefits the MICHAEL J. FOX FOUNDATION (501c non-profit for Parkinson’s Research).
 
Run Responsibly …
Hilton Head Island’s ONLY beer running event – for those runners that want a slightly different challenge to their normal run – or, for those beer lovers that may have a running problem. Whatever motivates you – come out and see how fast you can run 1 MILE and drink 4 BEERS (or, come out and see what someone looks like when running after 4 beers).
RULES to get in the game
1. You MUST be 21 years or older to participate.
2. You MUST provide for and name a designated driver that is responsible for transporting you after the event.
RULES of the competition (*Note: Race Officials may take liberty to modify below rules based on our unique location).
1. Individual: Each competitor drinks four cans (or bottles) of beer and runs four laps on a 1/4mi course.  Start – beer/lap, beer/lap, beer/lap, beer/lap – Finish   Team: (2 ppl): Each competitor drinks 2 beers and runs two laps
2. Beer must be consumed before the lap has begun, within the transition area.  (The 10 meter zone before the start/finish line.)
3. The race begins with the drinking of the first beer in the last meter of the transition zone.  This ensures the competitors run a complete mile.
4. Competitors must drink cans or bottles of beer and the contents will be no less than 12oz.  Bottles may be substituted for cans as long as they are at least 12 oz (355 ml) in volume.
5. No specialized cans or bottles may be used that give an advantage by allowing the beer to pour at a faster rate.  “Super mega mouth cans” or “vortex bottles” and other such containers are prohibited.
6. Beer cans must not be tampered with in any manner.  No shotgunning or puncturing of the can except for opening the can by the tab at the top.
7. Beer must be a minimum of 5% alcohol by volume.  The beer must be a fermented alcoholic beverage brewed from malt and flavored with hops.
8. Each beer can must not be opened until the competitor enters the transition zone on each lap.
9. Competitors who vomit before they finish the race must complete one penalty lap at the end of the race.  Immediately after the completion of their 4th lap.",https://runsignup.com/Race/SC/HiltonHeadIsland/HiltonHeadIslandBEERMile,https://marathons.ahotu.com//event/hilton-head-island-beer-mile
Hilton Head Island BEER Mile,['Individual'],South Carolina,North America,Road Solo,"March 29, 2019 (Friday)",17:30,Running,1 miles,Hilton Head Island,"WHAT: The BEER MILE  (Format – drink one 12oz beer then run 1/4 mile – repeat 4 times) WHERE: Tiki Hut (@ the Beach House Inn) – Coligny Beach, HHI WHY: Running without drinking is just too easy (not)! HOW: Entry Fee $30 Indiv. / $45 Team (2ppl) – Include 4 beers and t-shirt WHO: Individuals or Teams (2 ppl) – Anyone 21yrs or older – STRICTLY ENFORCED
This event benefits the MICHAEL J. FOX FOUNDATION (501c non-profit for Parkinson’s Research).
 
Run Responsibly …
Hilton Head Island’s ONLY beer running event – for those runners that want a slightly different challenge to their normal run – or, for those beer lovers that may have a running problem. Whatever motivates you – come out and see how fast you can run 1 MILE and drink 4 BEERS (or, come out and see what someone looks like when running after 4 beers).
RULES to get in the game
1. You MUST be 21 years or older to participate.
2. You MUST provide for and name a designated driver that is responsible for transporting you after the event.
RULES of the competition (*Note: Race Officials may take liberty to modify below rules based on our unique location).
1. Individual: Each competitor drinks four cans (or bottles) of beer and runs four laps on a 1/4mi course.  Start – beer/lap, beer/lap, beer/lap, beer/lap – Finish   Team: (2 ppl): Each competitor drinks 2 beers and runs two laps
2. Beer must be consumed before the lap has begun, within the transition area.  (The 10 meter zone before the start/finish line.)
3. The race begins with the drinking of the first beer in the last meter of the transition zone.  This ensures the competitors run a complete mile.
4. Competitors must drink cans or bottles of beer and the contents will be no less than 12oz.  Bottles may be substituted for cans as long as they are at least 12 oz (355 ml) in volume.
5. No specialized cans or bottles may be used that give an advantage by allowing the beer to pour at a faster rate.  “Super mega mouth cans” or “vortex bottles” and other such containers are prohibited.
6. Beer cans must not be tampered with in any manner.  No shotgunning or puncturing of the can except for opening the can by the tab at the top.
7. Beer must be a minimum of 5% alcohol by volume.  The beer must be a fermented alcoholic beverage brewed from malt and flavored with hops.
8. Each beer can must not be opened until the competitor enters the transition zone on each lap.
9. Competitors who vomit before they finish the race must complete one penalty lap at the end of the race.  Immediately after the completion of their 4th lap.",https://runsignup.com/Race/SC/HiltonHeadIsland/HiltonHeadIslandBEERMile,https://marathons.ahotu.com//event/hilton-head-island-beer-mile
Only Fools Run After Dark Fun Run,['Only Fools Run After Dark'],Illinois,North America,Road Solo,"March 29, 2019 (Friday)",22:00,Running,2 miles,LaSalle,"3rd Annual Only Fools Run After Dark
It’s a “fun run” – No Pressure – Run, Walk, or Crawl…your call!
* Run starts and finishes at The Camden Bar and Lounge*126 Marquette St, LaSalle, IL 61301
Race-Day registration- 7pm-9:30pmRace starts at 10:00pmCourse closes at 11:00pm
Pre-registration: (through 3/22/19)- $20Late Registration: $25
- Course is 2 miles through downtown LaSalle under the stars to support Illinois Valley United Way
- NEON SOCKS guaranteed for all pre-registered participants- Dress like a FOOL! PRIZES will be awarded for the best 80’s THEME COSTUMES!
- Pre/Post run Food and Refreshments available- Start and Finish line provided by RACING EXPECTATIONS- Proceeds to benefit United Way of the Illinois Valley",https://runsignup.com/Race/IL/LaSalle/foolsfunrun,https://marathons.ahotu.com//event/only-fools-run-after-dark-fun-run
TACP Association 24 Hour Challenge - Fort Hood,['TACP 24 Hour Challenge 5k'],Texas,North America,Road Solo,"March 30, 2019 (Saturday)",08:00,X-hour Race,5 kilometers,Harker Heights,"The Tactical Air Control Party Association is a veteran-run charitable organization that raises funds to support Air Force Tactical Air Control Party members, and their families.  This annual event is a 24-hour memorial run to honor those who have served their country, and paid the ultimate price. Please join us in reaching  our goal to support the Airmen in this community dedicated to protecting our country.
Run one lap, one hour, or the entire 24 hours.  Prizes are for top individual female, male. 2-person teams, 2-person ruck, and ultra-distance teams.  5k awards are for top female and male runners in: 18 & Under, 19 – 35, 36 – 50, and 51 and Up.
The 24-hour Challenge opening ceremony is Friday, March 29th, 2019 @ 11:30 am, at Carl Levin Park in Harker Heights, with the challenge beginning at 12:00pm.  The 24-hour challenge is free to participate in, however, donations are encouraged. 
The 5k is Saturday, March 30th, 2019 @ 9:00 am, at Carl Levin Park in Harker Heights.  Race entry is $25.  The first 200 registered 5k participants will receive a T-Shirt, and a commemorative race medal.",https://runsignup.com/Race/TX/HarkerHeights/TACP24HourChallengeFortHood,https://marathons.ahotu.com//event/tacp-association-24-hour-challenge-fort-hood
TACP Association 24 Hour Challenge - Fort Hood,['TACP 24 Hour Challenge 5k'],Texas,North America,Road Solo,"March 30, 2019 (Saturday)",08:00,X-hour Race,5 kilometers,Harker Heights,"The Tactical Air Control Party Association is a veteran-run charitable organization that raises funds to support Air Force Tactical Air Control Party members, and their families.  This annual event is a 24-hour memorial run to honor those who have served their country, and paid the ultimate price. Please join us in reaching  our goal to support the Airmen in this community dedicated to protecting our country.
Run one lap, one hour, or the entire 24 hours.  Prizes are for top individual female, male. 2-person teams, 2-person ruck, and ultra-distance teams.  5k awards are for top female and male runners in: 18 & Under, 19 – 35, 36 – 50, and 51 and Up.
The 24-hour Challenge opening ceremony is Friday, March 29th, 2019 @ 11:30 am, at Carl Levin Park in Harker Heights, with the challenge beginning at 12:00pm.  The 24-hour challenge is free to participate in, however, donations are encouraged. 
The 5k is Saturday, March 30th, 2019 @ 9:00 am, at Carl Levin Park in Harker Heights.  Race entry is $25.  The first 200 registered 5k participants will receive a T-Shirt, and a commemorative race medal.",https://runsignup.com/Race/TX/HarkerHeights/TACP24HourChallengeFortHood,https://marathons.ahotu.com//event/tacp-association-24-hour-challenge-fort-hood
10 km de Thouars,['5 km'],Deux-Sèvres,Europe,Road Solo,"March 30, 2019 (Saturday)",16:30,Running,5 kilometers,Thouars,,,https://marathons.ahotu.com//event/10-km-de-thouars
10 km de Thouars,['5 km'],Deux-Sèvres,Europe,Road Solo,"March 30, 2019 (Saturday)",16:30,Running,5 kilometers,Thouars,,,https://marathons.ahotu.com//event/10-km-de-thouars
10 km de Thouars,['5 km'],Deux-Sèvres,Europe,Road Solo,"March 30, 2019 (Saturday)",16:30,Running,5 kilometers,Thouars,,,https://marathons.ahotu.com//event/10-km-de-thouars
10 km de Thouars,['5 km'],Deux-Sèvres,Europe,Road Solo,"March 30, 2019 (Saturday)",16:30,Running,5 kilometers,Thouars,,,https://marathons.ahotu.com//event/10-km-de-thouars
10 km Nocturne de la Ville de St Paul,['10 Km'], Réunion,Africa,Road Solo,"March 30, 2019 (Saturday)",20:00,Running,10 kilometers,Saint-Paul,,,https://marathons.ahotu.com//event/10-km-nocturne-de-la-ville-de-st-paul
3-2-1 Deacon Dash,['5K Race'],North Carolina,North America,Road Solo,"March 30, 2019 (Saturday)",08:00,Running,5 kilometers,Winston-Salem,"What’s better than crossing the finish line of a race? Crossing TWO finish lines! People with Down syndrome have an extra chromosome, so this race has a little something EXTRA, too! Official times are recorded at the 5K finish line, then runners go on to DASH the extra 0.11 miles to finish at 3.21 miles, in honor of the 3rd copy of the 21st chromosome present in people with Down syndrome.",https://runsignup.com/Race/NC/WinstonSalem/321DeaconDash,https://marathons.ahotu.com//event/3-2-1-deacon-dash
3rd Annual Reds On The Run 5K,['5K'],Louisiana,North America,Road Solo,"March 30, 2019 (Saturday)",08:00,Running,3.1 miles,New Orleans,Health summit,,https://marathons.ahotu.com//event/3rd-annual-reds-on-the-run-5k
5K Drug Awareness Run,['5k Drug Awareness Run'],North Carolina,North America,Road Solo,"March 30, 2019 (Saturday)",08:30,Running,3.2 miles,Jacksonville,"(NEW DATE) Saturday March 30th 2019,
The Difference180 is hosting our 3nd Annual 5K Run for Drug Awareness. 
The opioid crisis in America is growing rapidly out of control.  Did you know in recent stats for opioid overdose and deaths, Wilmington, NC was #1 and Jacksonville, NC was #12 in the NATION.
This year the Difference180 is “Becoming part of the Solution” as we begin our fundraiser to open a New Sober Living Community in Onslow County.  Join us in the 5K run this April to fight this problem in our community and “Become part of the Solution”
T-shirts are included with registration before Monday March 18th is the deadline.
This year we will be having the Dry Fit Performance T-Shirts for the race.  After that date T-shirts cannot be guaranteed, so please sign up early.  We also have group sign-up discounts this year.  Check details on the event info tab.
There will be Finisher Medals issued out to all Registered Runners.  We will also have medals for the 1st, 2nd and 3rd place winners per age group.
This year the 1st, 2nd and 3rd place overall runners will get trophies!!! 
All entrants will be issued a chip, will receive an official time, and be eligible for awards.
Have the whole family come out and enjoy this early spring event at The Commons.  There will be live music and food provided. 
No cover charge, non-runners welcomed.  There will be community leaders and organizations present that day.  Sheriff Hans Miller will be speaking and The DARE unit will be out there. 
Here are some photos from last years race: 
2017 5K Race Day Photo
2018 5K Photos",https://runsignup.com/Race/NC/Jacksonville/DrugAwareness5K,https://marathons.ahotu.com//event/5k-drug-awareness-run
5K Race to Wellness,['1 Mile Fun Walk'],New Jersey,North America,Road Solo,"March 30, 2019 (Saturday)",09:05,Walking,1 miles,Bridgewater,,https://runsignup.com/Race/NJ/Bridgewater/5KRacetoWellness,https://marathons.ahotu.com//event/5k-race-to-wellness
5K Race to Wellness,['1 Mile Fun Walk'],New Jersey,North America,Road Solo,"March 30, 2019 (Saturday)",09:05,Walking,1 miles,Bridgewater,,https://runsignup.com/Race/NJ/Bridgewater/5KRacetoWellness,https://marathons.ahotu.com//event/5k-race-to-wellness
5K Race to Wellness,['1 Mile Fun Walk'],New Jersey,North America,Road Solo,"March 30, 2019 (Saturday)",09:05,Walking,1 miles,Bridgewater,,https://runsignup.com/Race/NJ/Bridgewater/5KRacetoWellness,https://marathons.ahotu.com//event/5k-race-to-wellness
5K Race to Wellness,['1 Mile Fun Walk'],New Jersey,North America,Road Solo,"March 30, 2019 (Saturday)",09:05,Walking,1 miles,Bridgewater,,https://runsignup.com/Race/NJ/Bridgewater/5KRacetoWellness,https://marathons.ahotu.com//event/5k-race-to-wellness
5k Walk/Run to End Homelessness,['5k Walk/Run'],Georgia,North America,Road Solo,"March 30, 2019 (Saturday)",08:00,Running,3.1 miles,Savannah,"Join Old Savannah City Mission in a 5k Walk/Run to help end homelessness in our community! Old Savannah City Mission is a Christian, Non-profit organization that strives to be five-star in Proclaiming the Gospel, feeding the hungry, sheltering the homeless, rehabilitating the addict and restoring the ex-offender.
Event Date: 3/30/19 at 8am
Starting at Forsyth Park
Registration fee $25, $30 race day and at packet pickup
FAQ: 
Paper registrations available at OSCM
Stroller Friendly
Post race food included
Walkers are welcome
T-Shirt Included
ERS Timed event",https://runsignup.com/Race/GA/Savannah/5kWalkRuntoEndHomelessness,https://marathons.ahotu.com//event/5k-walk-run-to-end-homelessness
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
9 Mile War 15K/5K/1M Hill Challenge,['1 Mile Fun Run'],Florida,North America,Road Solo,"March 30, 2019 (Saturday)",09:00,Running,1 miles,Dade City,"Come join us for the 1st annual 9 Mile War 15K/5K/1M Hill Challenge on Saturday March 30th. Named after the fierce rivalry between Zephyrhills High School and Pasco HIgh School, this race will run in between Zephryrhills and Dade City on the brand new bike trail on the side of 301. It will start and finish at around the Jim Browne Chevrolet dealership on 301. If you are not familiar with the area, this race will feature some massive hills that will challenge even the best runners. Since this is a rivalry, you will have to choose sides when registering for the race. The side that gets the most runners will win the 9 Mile War trophy at the end. All proceeds will go to  Zephyrhills High School and Pasco High School’s Cross Country Teams and the Zephyrhills High School Athletic Booster Club. 
Special price for teenagers 13-17 and kids 12 and under are FREE in the 5K and the 1 mile fun run hill challenge.",https://runsignup.com/Race/FL/DadeCity/9MileWar15K,https://marathons.ahotu.com//event/9-mile-war-15k-5k-1m-hill-challenge
